""	"sample"	"tumor"	"tissue"	"type"	"seq"	"dataset"
"46"	"A12-ADREN-MET_ROi_CP-2558"	"Metastatic tumor"	"Adrenal"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"47"	"A12-LIVER-MET_ROi_CP-2559"	"Metastatic tumor"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"48"	"A12-LN-MET_ROi_CP-2560"	"Metastatic tumor"	"Lymph node"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"49"	"A12-LUNG-MET_ROi_CP-2561"	"Metastatic tumor"	"Lung"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"50"	"A12-MESENTE-MET_ROi_CP-2562"	"Metastatic tumor"	"Mesentary"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"51"	"A12-PLEURA-MET_ROi_CP-2563"	"Metastatic tumor"	"Pleura"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"52"	"A12-SKULL-MET_ROi_CP-2565"	"Metastatic tumor"	"Skull"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"53"	"A15-PriT070427B_ROi_CP-2570"	"Primary tumor"	"Breast"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"54"	"A15-LiverMet_ROi_CP-2567"	"Metastatic tumor"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"55"	"A15-ChestMet_ROi_CP-2566"	"Metastatic tumor"	"Chest"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"56"	"A15-MEDIAST-MET_ROi_CP-2569"	"Metastatic tumor"	"Chest"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"57"	"A15-LUNG-MET_ROi_CP-2568"	"Metastatic tumor"	"Lung"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"58"	"A17-PrimT-FFPER0i_CP-1369"	"Primary tumor"	"Breast"	"FFPE"	"Illumina HiSeq 2500"	"RAP"
"59"	"A17-9ChestMet_ROi_CP-2571"	"Metastatic tumor"	"Chest"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"60"	"A17-LivMet1_ROi_CP-2572"	"Metastatic tumor"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"61"	"A20-ADRENAL-MET_ROi_CP-2573"	"Metastatic tumor"	"Adrenal"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"62"	"A20-BRAIN-MET_ROi_CP-2574"	"Metastatic tumor"	"Brain"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"63"	"A20-LIVER-MET_ROi_CP-2575"	"Metastatic tumor"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"64"	"A20-LN-Met_ROi_CP-2576"	"Metastatic tumor"	"Lymph node"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"65"	"A20-LUNG-MET-L_ROi_CP-2577"	"Metastatic tumor"	"Lung"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"66"	"A20-LUNG-MET-R_ROi_CP-2578"	"Metastatic tumor"	"Lung"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"67"	"A20-SPLEEN-MET_ROi_CP-2579"	"Metastatic tumor"	"Spleen"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"68"	"A21-PrimT-FFPE-R0i_CP-2732"	"Primary tumor"	"Breast"	"FFPE"	"Illumina HiSeq 2500"	"RAP"
"69"	"A21-LN-met-FFPE-R0i_CP-2733"	"Metastatic tumor"	"Lymph node"	"FFPE"	"Illumina HiSeq 2500"	"RAP"
"70"	"A23-PTcore2009-FFPER0i_CP-1359"	"Primary tumor"	"Breast"	"FFPE"	"Illumina HiSeq 2500"	"RAP"
"71"	"A23-AdrenalMet_ROi_CP-2580"	"Metastatic tumor"	"Adrenal"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"72"	"A23-BrainMet_ROi_CP-2581"	"Metastatic tumor"	"Brain"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"73"	"A23-LN-Met-2010postT-FFPER0i_CP-1360"	"Metastatic tumor"	"Lymph node"	"FFPE"	"Illumina HiSeq 2500"	"RAP"
"74"	"A23-LN-Met_ROi_CP-2582"	"Metastatic tumor"	"Lymph node"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"75"	"A23-PleuraMet_ROi_CP-2583"	"Metastatic tumor"	"Pleura"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"76"	"A24-PrimT-FFPER0i_CP-1368"	"Primary tumor"	"Breast"	"FFPE"	"Illumina HiSeq 2500"	"RAP"
"77"	"A25-PrimT-FFPER0i_CP-1364"	"Primary tumor"	"Breast"	"FFPE"	"Illumina HiSeq 2500"	"RAP"
"78"	"A28-PrimT-FFPER0i_CP-1361"	"Primary tumor"	"Breast"	"FFPE"	"Illumina HiSeq 2500"	"RAP"
"79"	"A28-AdrenalMet_ROi_CP-2586"	"Metastatic tumor"	"Adrenal"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"80"	"A28-DuraMat-Met_ROi_CP-2587"	"Metastatic tumor"	"Dura"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"81"	"A28-LivMet-1_ROi_CP-2588"	"Metastatic tumor"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"82"	"A28-LungMet-LLL_ROi_CP-2589"	"Metastatic tumor"	"Lung"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"83"	"A28-LungMet-RUL_ROi_CP-2590"	"Metastatic tumor"	"Lung"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"84"	"A28-PancreasMet_ROi_CP-2591"	"Metastatic tumor"	"Pancreas"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"85"	"A29-PrimT-FFPER0i_CP-1371"	"Primary tumor"	"Breast"	"FFPE"	"Illumina HiSeq 2500"	"RAP"
"86"	"A30-PrimT-FFPER0i_CP-1362"	"Primary tumor"	"Breast"	"FFPE"	"Illumina HiSeq 2500"	"RAP"
"87"	"A30-BrainMet-L4_ROi_CP-2592"	"Metastatic tumor"	"Brain"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"88"	"A30-BrainMet-R_ROi_CP-2594"	"Metastatic tumor"	"Brain"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"89"	"A30-BrainMetOci_ROi_CP-2593"	"Metastatic tumor"	"Brain"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"90"	"A30-LivMet-L_ROi_CP-2595"	"Metastatic tumor"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"91"	"A30-LivMet-R_ROi_CP-2596"	"Metastatic tumor"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"92"	"A31-PrimT-FFPER0i_CP-1363"	"Primary tumor"	"Breast"	"FFPE"	"Illumina HiSeq 2500"	"RAP"
"93"	"A34-PrimT-FFPER0i_CP-1248"	"Primary tumor"	"Breast"	"FFPE"	"Illumina HiSeq 2500"	"RAP"
"94"	"A34-BrainMet_ROi_CP-2597"	"Metastatic tumor"	"Brain"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"95"	"A34-DuraMet_ROi_CP-2598"	"Metastatic tumor"	"Dura"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"96"	"A34-LN-Met-R0i_CP-2601"	"Metastatic tumor"	"Lymph node"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"97"	"A34-LivMet-L_ROi_CP-2599"	"Metastatic tumor"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"98"	"A34-LivMet-R_ROi_CP-2600"	"Metastatic tumor"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"99"	"A34-PancreasMet_ROi_CP-2602"	"Metastatic tumor"	"Pancreas"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"100"	"A36-PrimT-FFPER0i_CP-1367"	"Primary tumor"	"Breast"	"FFPE"	"Illumina HiSeq 2500"	"RAP"
"101"	"A38-PrimT-FFPER0i_CP-1372"	"Normal tissue"	"Breast"	"FFPE"	"Illumina HiSeq 2500"	"RAP"
"102"	"A19-BrainN-120718-2R0i_CP-2758"	"Normal tissue"	"Brain"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"103"	"A20-BrainN-120774-2R0i_CP-2752"	"Normal tissue"	"Brain"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"104"	"A21-BrainN-Occi-120926-2R0i_CP-2754"	"Normal tissue"	"Brain"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"105"	"A23-BrainN-121320-2R0i_CP-2753"	"Normal tissue"	"Brain"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"106"	"A27-BrainN-131226-2R0i_CP-2755"	"Normal tissue"	"Brain"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"107"	"A30-BrainN-R-140019-2R0i_CP-2756"	"Normal tissue"	"Brain"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"108"	"A30-BrainN-Occi-140024-2R0i_CP-2757"	"Normal tissue"	"Brain"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"109"	"A34-BrainN-140837-1R0i_CP-2759"	"Normal tissue"	"Brain"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"110"	"A21-LungN-L-120922-2R0i_CP-2760"	"Normal tissue"	"Lung"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"111"	"A25-LungN-130388-1R0i_CP-2761"	"Normal tissue"	"Lung"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"112"	"A26-LungN-130920-2R0i_CP-2762"	"Normal tissue"	"Lung"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"113"	"A27-LungN-131214-2R0i_CP-2763"	"Normal tissue"	"Lung"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"114"	"A28-LungN-131331-2R0i_CP-2764"	"Normal tissue"	"Lung"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"115"	"A32-LungN-R-140512-2R0i_CP-2765"	"Normal tissue"	"Lung"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"116"	"A16-2-LivN-110855-2R0i_CP-2768"	"Normal tissue"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"117"	"A17-2-LivN-111079-2R0i_CP-2769"	"Normal tissue"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"118"	"A19-LivN-120715-2R0i_CP-2770"	"Normal tissue"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"119"	"A20-LivN-120769-2R0i_CP-2772"	"Normal tissue"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"120"	"A21-LivN-120915-2R0i_CP-2773"	"Normal tissue"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"121"	"A25-LivN-130387-1R0i_CP-2766"	"Normal tissue"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"122"	"A38-LivN-R-150306-1R0i_CP-2767"	"Normal tissue"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"123"	"A4-Breast-NL-R0i_CP-3047"	"Normal tissue"	"Breast"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"124"	"9830-010214A-R0i_CP-3045"	"Normal tissue"	"Breast"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"125"	"9830-020185A-R0i_CP-3046"	"Normal tissue"	"Breast"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
